,food,amount,cals,protein,carbs,fat
403,cebolla huevo,0.0,0.810085,0.047931034,0.062068965,0.037931036
404,tortilla ceb casamcrem,0.0,0.9108793,0.019876543,0.044444446,0.013827161
405,sopa verduras,0.0,0.10536644,0.003940097,0.025160631,0.00084471446
406,maiz blanco,0.0,0.98,0.0328,0.235,0.0078
407,ossobuco,0.0,1.03,0.0854,0.036,0.0501
408,margarina,0.0,5.26,0.006,0.0,0.5917
409,sardina aceite caracas,0.0,1.3333334,0.23333333,0.016666668,0.05
410,mariscos mellino,0.0,0.71666664,0.111666664,0.016666668,0.021666666
411,nesquik,0.0,3.8323352,0.0538,0.7857,0.0
412,locro,0.0,0.60776,0.0275,0.0739,0.01667
413,block,0.0,5.41,0.14,0.45,0.34
414,shoot,0.0,5.025,0.1025,0.575,0.275
415,leche entera,0.0,0.57,0.03,0.045,0.03
416,bife chorizo,0.0,1.42,0.2047,0.0,0.0602
417,lechuga,0.0,0.14,0.009,0.0297,0.0014
418,yogur vainilla ser,0.0,0.40526316,0.043157894,0.057894737,0.0
419,harina trigo,0.0,3.74,0.1,0.72,0.01
420,levadura,0.0,4.0,0.48,0.38,0.06
421,tarta manzana light,0.0,1.0161479,0.03699178,0.1880402,0.010547397
422,ajo perejil,0.0,0.879019,0.032195,0.11122,0.029854
423,calamar hervido,0.0,0.804,0.1625,0.007,0.014
424,chocotorta,0.0,3.3208377,0.072383836,0.4203545,0.13278624
425,coca comun ,0.0,0.3,0.0,0.106,0.0
426,coca comun,0.0,0.3,0.0,0.106,0.0
427,tarta banana light,0.0,1.2761624,0.04992884,0.2248015,0.013025557
428,pastelito batata,0.0,2.7125,0.031667,0.546667,0.043333
429,pastelito membrillo,0.0,2.714333,0.032437,0.562067,0.043498
430,pastafrola,0.0,4.025,0.05,0.7,0.12
431,pan violeta,0.0,2.7238805,0.0,0.0,0.0
432,torta manzana light,0.0,1.0161479,0.03699178,0.1880402,0.010547397
433,pan de campo,0.0,2.54,0.088,0.5,0.024
